,latitude,longitude
56p119356,51.521784,-0.140486
56p119357,51.51661,-0.168366
56p119360,51.422799,-0.132424
56p119361,51.629612,-0.012077
56p119363,51.536457,-0.160403
56p119365,51.526397,-0.143423
56p119367,51.398822,-0.170445
56p119381,51.522459,-0.141767
56p119383,51.621769,-0.074697
56p119388,51.467587,-0.22003
56p119391,51.516096,-0.170059
56p119394,51.512508,-0.172941
56p119395,51.511264,-0.144687
56p119402,51.511968,-0.156778
56p119403,51.509837,0.119946
56p119406,51.50186,-0.198423
56p119407,51.465292,-0.152977
56p119411,51.487199,-0.148559
56p119413,51.513368,-0.161766
56p119414,51.557648,-0.114784
56p119415,51.576736,-0.139225
56p119419,51.478921,-0.148207
56p119425,51.51298,-0.155397
56p119427,51.514773,-0.159029
56p119428,51.515349,-0.171732
56p119436,51.51532,-0.254202
56p119440,52.469599,-0.91166
56p119443,51.447736,-0.048569
56p119444,51.505865,-0.196291
56p119445,51.545896,0.038922
56p119446,55.974457,-3.197749
56p119449,51.513484,-0.152566
56p119453,51.511383,-0.229738
56p119457,51.500981,0.008011
56p119458,54.996958,-1.603003
56p119459,51.573128,-0.137565
56p119460,51.565477,-0.049661
56p119464,51.509898,-0.148691
56p119471,52.095226,0.43064
56p119473,51.519029,-0.177527
56p119475,51.50773,-0.10507
56p119477,51.518259,-0.010715
56p119479,51.524386,-0.187371
56p119480,51.48386,-0.121242
56p119483,51.514236,-0.160362
56p119484,51.50926,-0.123238
56p119485,51.619766,-0.288829
56p119489,51.513203,-0.154585
56p119491,51.511724,-0.156702
56p119493,51.500791,-0.159693
56p119496,51.512871,-0.155344
56p119498,51.526487,-0.166889
56p119499,51.510819,-0.155647
56p119501,51.558015,-0.120337
56p119502,51.541216,-0.17319
56p119503,51.450651,-0.152427
56p119505,51.513701,-0.1509
56p119508,51.510819,-0.155647
56p119513,51.532789,-0.177709
56p119515,51.535221,-0.168196
56p119516,51.485471,-0.201071
56p119519,51.505587,-0.251014
56p119521,51.577885,-0.345196
56p119523,51.426814,-0.567081
56p119527,51.564572,0.055989
56p119529,51.59721,-0.233957
56p119532,51.514044,-0.155541
56p119533,51.491441,-0.168453
56p119534,51.524881,-0.16136
56p119535,51.331135,-2.968031
56p119537,51.484002,0.000123
56p119541,51.513157,-0.15637
